---config@允许编辑=是
---config@码表分类=主码-次显码表
---config@码表别名=罕用字·繁体字

#罕用字
踄	uez#序9707
屾	ufe#序9706
燊	ufh#序9705
珅	ufw#序9704
礵	uli#序9703
塽	ult#序9702
腨	uro#序9701
帨	uvj#序9700
揗	uyf#序9699
楯	uym#序9698
欸	vds#序9697
堨	vdt#序9696
痾	veb#序9695
䗪	veg#序9694
晢	veo#序9693
烝	vgh#序9692
庤	vig#序9691
咹	vjk#序9690
偡	vjr#序9689
邅	vjz#序9688
呣	vmk#序9687
晫	voo#序9686
䏝	vro#序9685
僎	vrr#序9684
茽	vsc#序9683
纻	vus#序9682
衠	vyr#序9681
圫	vyt#序9680
忳	vyx#序9679
迍	vyz#序9678
㑇	vzr#序9677
㤘	vzx#序9676
搲	waf#序9675
芠	wfc#序9674
塭	wft#序9673
尪	whu#序9672
椀	wjm#序9671
毌	wjv#序9670
㧑	wwf#序9669
䜣	xbi#序9668
扱	xif#序9667
啣	xmk#序9666
忺	xmx#序9665
傚	xnr#序9664
塮	xpt#序9663
䗛	xqi#序9662
琇	xqw#序9661
嬛	xrn#序9660
祫	xxp#序9659
叚	xxv#序9658
蟫	xyi#序9657
珣	xyw#序9656
䥺	yaj#序9655
䲟	yba#序9654
珢	ybw#序9653
愔	ybx#序9652
垚	yct#序9651
倻	yer#序9650
堨	yet#序9649
钖	yhj#序9648
咉	yhk#序9647
旸	yho#序9646
垟	yht#序9645
㶲	ysh#序9644
栐	ysm#序9643
玥	ytw#序9642
妘	yyn#序9641
臜	zao#序9640
慥	zcx#序9639
偺	zjr#序9638
槜	zvm#序9637
嶟	zye#序9636
噂	zyk#序9635
僔	zyr#序9634
叆	aiey#序9633
堨	aitr#序9632
毐	aiup#序9631
唵	ankv#序9630
盦	anmr#序9629
垵	antn#序9628
奡	aoaa#序9627
隩	aoed#序9626
嶅	aofe#序9625
璈	aoww#序9624
鲌	baab#序9623
哱	bakz#序9622
朳	bamb#序9621
粃	bamp#序9620
羓	bayv#序9619
邠	bbeb#序9618
嫑	bcan#序9617
坋	bftd#序9616
蚄	bhif#序9615
棓	bhmk#序9614
皕	biab#序9613
坒	biat#序9612
赑	bibb#序9611
苾	bicp#序9610
沘	bidp#序9609
佖	birp#序9608
攽	bjbw#序9607
柈	bjma#序9606
梹	bkmb#序9605
萹	bmcc#序9604
藨	bnch#序9603
摽	bnfx#序9602
幖	bnjx#序9601
骉	bnmm#序9600
脿	bnoy#序9599
儦	bnrh#序9598
鲌	boab#序9597
葧	bocl#序9596
